Unit Number,Notes,Model,Serial Number
CYDZ 3,ex-ASAB,RS1,72812
CYDZ 97,ex-WATC 52,RS1,75562
CYDZ 101,,S2M,
CYDZ 224,Ex-C&O 5029,S2,77798
CYDZ 238,Ex-B&O 9060,S2,76180
CYDZ 239,blt 6/46 as Ontario Northland 1202,S2,74481
CYDZ 251,ex-ONR,S2M,74480
CYDZ 258,,T6,3454-01
CYDZ 275,,RS1,72812
CYDZ 292,"Ex-WATC 52, CIRR 57",RS1,75562
CYDZ 293,Ex-CIRR 38 Nee-WATC 54,RS1,75564
CYDZ 303,,RS1,70809
CYDZ 304,"Ex-C&O 3000, CSX, AGR 2179",GP30M,27798
CYDZ 305,Ex-BS 200; Pensacola Site,SW1200,23983
CYDZ 306,Blt 12/52 as FEC 226,SW9,17364
CYDZ 307,Ex-FEC 221; DeFuniak Springs,SW9,17359
CYDZ 317,Ex SAL 1428,S2,74665
CYDZ 320,"Ex SCFE, ex Pielet Brothers, nee ATSF, to CNYX.",GP7u,13199
CYDZ 321,"Ex SCFE, ex HLCX, ex IAIS, ex ICG, nee IC.",GP8,16404
CYDZ 359,ex-BO 9615,SW1200,23361
CYDZ 364,ex-SAL1488 > SCL 80 > SCSPA 1002 > SCPR 1002 > CYDZ 364,S4,80458
CYDZ 366,Ex SAL 1431,S2,74792
CYDZ 2109,"Ex-PRR 2202, PC, Conrail, AGR",GP30M,28110
