Unit Number,Notes,Model,Serial Number
AGPX,Ex-Marquett Cement,45Tonner,13053
AGPX 1,"Ex-SP 1208, re# 1206 (2nd) in deadline",S6,80929
AGPX 1,,45Tonner,
AGPX 4,blt 6/57 as EMDX 6535,SW900,24007
AGPX 6,Was CR 8682,SW8,14493
AGPX 6,,25 Tonner,36400
AGPX 101,,25 Tonner,18147
AGPX 701,,GP7,
AGPX 901,,GP9,
AGPX 1409,ex BNSF 1409,GP10,11035
AGPX 1644,ex-ATSF 747>2947>2255>BNSF 1644,GP9u,23150
AGPX 1801,"Central Valley Ag, Floyd Val Grain LLC, CNW 6623, PNCX 1801, nee SOU SD24",SD18M,25599
AGPX 2510,EX-CNW,GP7R,18250
AGPX 3164,blt 7/76 as UP 8062,SD40-2,767021-28
AGPX 3877,"ex CBR/PSAP/ENR 3877, OTVR/SCTR/NS/SOU 2813,",GP38,36061
AGPX 4036,ex-USAX,RS-4-TC,61266
AGPX 4125,,B23-7,41681
AGPX 4191,Former C&NW 4191,GP7,11693
AGPX 4222,Ex-ATSF,B23-7,42411
AGPX 4247,Former BNSF 4247,B23-7,42929
AGPX 4259,Ex-ATSF,B23-7,42941
AGPX 4314,ex-CNW,GP7R,14288
AGPX 6129,Former BN SD9,SD9,25157
AGPX 6152,Ex-CB&Q,SD9,20560
AGPX 6634,ex-SOU,SD18M,25606
AGPX 6641,"Central Valley Ag, Floyd Valley Grain LLC, WSOR/CNW 6641, nee SOU SD24",SD18M,25621
AGPX 6717,,SW8,
AGPX 6914,ex-CN,SD40-3,A2402
AGPX 8237,ex-PAL 8237,GP10,18218
AGPX 8323,"ex PAL, ex ICG GP10 Paducah re",GP10,20192
AGPX 8323,blt 12/54 as C&O GP9 5910,GP8,20192
