Independent Locomotive Service (ILSX),,
Road No.,Model,Date
9,SW1200,Feb-64
10,SW9,Sep-61
69,SW1,
143,SW900,Aug-36
201,SW1500,Oct-68
302,GP7,Jun-53
551,GP15-1,Jun-76
607,GP15-1,Jul-97
674,GP15-1,Feb-82
716,GP15AC,Nov-82
736,GP15AC,Dec-82
738,GP15AC,Dec-82
900,SW8,Dec-51
901,SW8,Aug-51
902,RS3m,Oct-50
904(2nd),SW1,Sep-47
905,SW1200,Jan-55
906,TR2A,Dec-49
"907, 908 & 910",TR4A,Sep-50
909,SW8,Feb-51
911,TR4B,Sep-50
912,SW1,
913 & 916,SW7,Sep-50
914,SW1200,Jan-55
915,SW1200,Feb-64
917,SW7,Oct-51
920,SW1,Dec-50
921 & 928,SW1500,Jun-72
924,SW1500,Apr-72
927,SW1500,Apr-69
929,SW1500,Apr-73
930,SW1500,Apr-70
931-932,SW1200RS,Dec-59
934,SW1500,Mar-56
935,MP15AC,Sep-75
939,MP15AC,Feb-76
942,MP15,
943,SW1500,
944,SW1500,Oct-68
951,SW1500,Oct-68
1009,NW2,Sep-48
1303,SD40-2,Jan-66
1304,GP15-1,
1307,GP15-1,
1312,GP38,Mar-69
1318,GP9u,Feb-57
1323,GP9,Jan-59
1328,SD38-3,Apr-70
1329 & 1230,SD40-2,Jul-76
1338,SD40-2,Jan-70
1339-1341,SD40-3,Jan-70
1343,SD40-T2,Apr-78
1344,SD40-2,Jan-80
1346,GP38-2,Oct-69
1349,GP9,Jan-54
1350,SD40T-2,Jun-80
1352,GP10,
1354,GP11,Feb-51
1355,GP11,Dec-54
1359,SW1,May-49
"1360, 1362 & 1363",GP5(GP9m),Jul-57
1364 & 1366,SW1,May-40
1365,GP9,Jul-59
1367,SW7,Jul-50
1368,GP10,Feb-50
1369,GP9,Aug-57
1370,SW8,Aug-51
1371,SW1,Nov-50
1372,NW2,Oct-48
1373,SW7,Feb-50
1374,SD9,Mar-58
1378,SW1,Jul-53
1379,GP7,Jan-58
1380,GP9,Jan-58
1381,GP7,Mar-50
1382 & 1383,GP9,May-56
1384,SD9,Sep-57
1385,GP9u,May-56
1386-1388,GP35,Jun-64
1389 & 1390,GP39-2,Oct-78
1391 & 1393,GP10,Mar-57
1395-1396,GP10,Aug-55
1398,GP10,Oct-53
1401 & 1402,GP15-1,
1907,GP9,Jul-57
2117,SW1200,Sep-53
"3133, 3137",SD40-3,Jul-69
"3144, 3152",SD40-3,Apr-70
3523,SW1200,Feb-59
3636,SW1000,Dec-70
4551,GP9,May-57
5148,GP38-2,Oct-74
8758,SW1,Jun-52
