,index,company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP,Cross Match
0,2,Williams Alaska Petroleum / Mapco,,,,Anchorage,Ak.,Ocean Dock Rd.    (in port area),,CLC 02113,CLC,2113,2113.0,S4,,2002.0,,Serial Match
1,21,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 1005,LOCX,1005,,SW8,,,800.0,Reporting Match
2,22,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 1226,LOCX,1226,18846.0,SW9m,Dec-53,2016.0,,Reporting Match
3,23,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 150,LOCX,150,10243.0,SW7,Dec-50,,1200.0,Reporting Match
4,40,Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,RLIX 2010,RLIX,2010,37376.0,GP38,Apr-71,,2000.0,Reporting Match
5,43,Cherokee Nitrogen,(subs. LSB Ind.),,,Cherokee / (Vertagreen Station),,"1080 Industrial Dr., 35616  (~4 m. NE of ...)  ",(256) 359-7000,PRLX 2202,PRLX,2202,37065.0,SW1500,Feb-71,2019.0,1500.0,Reporting Match
6,51,"Tube City, Inc. / TMS",,,scrap yard,Fairfield,,"123 Scrap Yard Road, 35064             ",[(205) 781-3629],JRWX 137,JRWX,137,75662.0,S2,Mar-48,,,Reporting Match
7,79,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),LLX 146,LLX,146,32313.0,SW1000,Oct-66,1997.0,1000.0,Reporting Match
8,80,Nucor Steel Decatur,,(formerly Trico Steel Co.),hot mill,Trinity   (Decatur),,"TriSteel Blvd.  (off Hwy. 72, in Mallard Fox Industrial Park)   ", [(205) 580-9500]),LLX 147,LLX,147,33915.0,SW1000,Apr-68,1996.0,1000.0,Reporting Match
9,92,"BPG, PLC. / Certainteed",,(formerly James Hardie Gypsum Co.)  ,(gypsum board) ,Briar Plant / Perkins,,"  (PO Box 509, Nashville, Ar., 71949)        [(501 845-4951]    (12 mi. north of Nashville on SR 369)",,,,,177.0,Porter 65ton,Aug-44,,,Serial Match
10,125,Union Tank Car,,(formerly GE Capital Railcar Service Corp. ),railcar repair,Texarkana,,"2006 N. Oats St., 75502      (N. Oats & Nash-Thompson Ln.)", [(501) 773-5641],RSSX 1052,RSSX,1052,20161.0,GP9,Feb-55,,1750.0,Reporting Match
11,171,"Chevron USA, Inc.",,,,El Segundo,,"324 West El Segundo Blvd., 90245                     ",   [(310) 615-5000],RLIX 1500,RLIX,1500,34429.0,SW1500,-69,2024.0,1500.0,Reporting Match
12,241,Niobrara Crude Terminal,,,,Carr,,,,RSSX 2120,RSSX,2120,19085.0,SW1200,Jan-55,,1200.0,Reporting Match
13,285,Dagsboro Materials,(subs. Haines & Kibblehouse),,materials distribution,Dagsboro,De.,"30548 Thorogoods Rd  (Rd 333), 19939  (1 mi. NW of...)",(302) 933-0900,HKGX 1850,HKGX,1850,18713.0,GP7m,Oct-53,2017.0,,Reporting Match
14,295,"Ardent Mills, LLC - Port Redwing Mill",,,flour mill,Gibsonton,,"6041 Dinana Toledo Almeida Rd., 33534",  (800) 851-9618,CAGX 1039,CAGX,1039,14670.0,GP7,Aug-51,2022.0,1500.0,Reporting Match
15,343,"Cypress Truck Lines, Inc",,,truck terminal,,,"1414 Lindrose St., 32206",(904) 358-8641,,,,304.0,Plymouth ML-6,May-43,,,Serial Match
16,370,Georgia Pacific Corp.,,,,Palatka,,"SR 216    (N/W of...)      (P.O. Box 919, 32077)  ", [(904) 325-2001],,,,3681.0,GE 45ton,Sep-51,,,Serial Match
17,374,Port Panama City,,,,Panama City,,"  (off US 98 Business)         (P. O. Box 15095, 32406)                   ", [(850) 767-3220],MPRX 1371,MPRX,1371,,SW1200RS,-60,,1200.0,Reporting Match
18,395,Brunswick Cellulose,(subs. Kock Cellulose),formerly Georgia Pacific Corp.,,Brunswick,,"1010 Ga Highway 32, 31523                               [ (912) 265-5780]",,RSSX 5547,RSSX,5547,23566.0,GP9,-57,,1750.0,Reporting Match
19,397,Pilgrim's Pride,,(formerly Gold Kist),(feed mill),Calhoun,,"102 N Industrial Blvd., 30701      ",(706) 629-4464,JRWX 128,JRWX,128,,NW2,,,1000.0,Reporting Match
20,430,International Paper,,(formerly Weyerhaeuser Co.),pulp mill,Port Wentworth,,1 Bonny Bridge Rd.,,PWFX 102,PWFX,102,24155.0,SW1200,-57,,1200.0,Reporting Match
21,444,Georgia Power Co.  â€“  Plant Bowen, (subs. Southern Co.),,,Stilesboro,,Euharlee-Stilesboro Rd.,,MBCX 306,MBCX,306,,SW1500 Nee SP.,,,,Reporting Match
22,453,Southern Power  -  Plant Wansley  ,(subs. Southern Co. ),Formerly Georgia Power Co.),,Wansley  (Lowell),,"    (4 mi. S of Lowell)       (SR  5, (Roopville), 30170)",,MBCX 303,MBCX,303,30026.0,SW1200,Jan-65,,1200.0,Reporting Match
23,539,Flint Hills Resources,,"(formerly Hawkeye, LLC)",ethanol,Menlo,,"3363 Talon Ave., 50164",  (641) 524-5612,CITX 3110,CITX,3110,31531.0,SD40,Apr-66,2021.0,3000.0,Reporting Match
24,660,Foster Townsend Rail Logistics / Tri City Port Authority,,,,,,,,MRS 001,MRS,1,20942.0,SW900,Dec-55,,900.0,Reporting Match
