0,1,2,3,4
Road No.,EMD Model,Serial Nmbr,Bldr Date,Notes
"116 & 117 GP7U 24761, 21254 10/58, 4/56 Ex-MRL 116 & 117 < nee MSTL 703 & GN 681","GP7U 24761, 21254 10/58, 4/56 Ex-MRL 116 & 117 < nee MSTL 703 & GN 681","24761, 21254 10/58, 4/56 Ex-MRL 116 & 117 < nee MSTL 703 & GN 681","10/58, 4/56 Ex-MRL 116 & 117 < nee MSTL 703 & GN 681",Ex-MRL 116 & 117 < nee MSTL 703 & GN 681
118 GP10 21203 5/56 Ex-CC 975 < nee MILW 2379,GP10 21203 5/56 Ex-CC 975 < nee MILW 2379,21203 5/56 Ex-CC 975 < nee MILW 2379,5/56 Ex-CC 975 < nee MILW 2379,Ex-CC 975 < nee MILW 2379
279 GP7U 5253-1 4/53 Ex-P&LE 5735,GP7U 5253-1 4/53 Ex-P&LE 5735,5253-1 4/53 Ex-P&LE 5735,4/53 Ex-P&LE 5735,Ex-P&LE 5735
550 SD10 18303 5/56 Ex-PRSX 550 < Milw SD10 550 < nee MILW SD7 2217,SD10 18303 5/56 Ex-PRSX 550 < Milw SD10 550 < nee MILW SD7 2217,18303 5/56 Ex-PRSX 550 < Milw SD10 550 < nee MILW SD7 2217,5/56 Ex-PRSX 550 < Milw SD10 550 < nee MILW SD7 2217,Ex-PRSX 550 < Milw SD10 550 < nee MILW SD7 2217
605 SD40 31763 4/66 Ex-KCD 605 < nee C&NW 890,SD40 31763 4/66 Ex-KCD 605 < nee C&NW 890,31763 4/66 Ex-KCD 605 < nee C&NW 890,4/66 Ex-KCD 605 < nee C&NW 890,Ex-KCD 605 < nee C&NW 890
1005 SW1001 756080-1 10/75 Ex-GWF 301,SW1001 756080-1 10/75 Ex-GWF 301,756080-1 10/75 Ex-GWF 301,10/75 Ex-GWF 301,Ex-GWF 301
1109 SW1200 27877 2/63 Ex-CEMX 1109 < nee MP 1109,SW1200 27877 2/63 Ex-CEMX 1109 < nee MP 1109,27877 2/63 Ex-CEMX 1109 < nee MP 1109,2/63 Ex-CEMX 1109 < nee MP 1109,Ex-CEMX 1109 < nee MP 1109
1281 SW600 19514 3/54 Ex-PVGX 1281 < nee C&NW 1281,SW600 19514 3/54 Ex-PVGX 1281 < nee C&NW 1281,19514 3/54 Ex-PVGX 1281 < nee C&NW 1281,3/54 Ex-PVGX 1281 < nee C&NW 1281,Ex-PVGX 1281 < nee C&NW 1281
1414 SD40-2 7396-26 7/72 Ex-TFM 1414 < Milw 155 < nee MILW 3025,SD40-2 7396-26 7/72 Ex-TFM 1414 < Milw 155 < nee MILW 3025,7396-26 7/72 Ex-TFM 1414 < Milw 155 < nee MILW 3025,7/72 Ex-TFM 1414 < Milw 155 < nee MILW 3025,Ex-TFM 1414 < Milw 155 < nee MILW 3025
1425 MP15AC -- -- Ex-??,MP15AC -- -- Ex-??,-- -- Ex-??,-- Ex-??,Ex-??
(1501 & 1502),SW1500,EMD 7310-1 & 2,"8/71/td>    Went to SSRX; ex-NOPB 151 & 152",Went to SSRX; ex-NOPB 151 & 152
(1503),SW1500 (8/71),EMD 4618-1,"8/71/td>    Went to SSRX; ex-NOPB 153",Went to SSRX; ex-NOPB 153
1510 SW1500 35301 2/70 Ex-ALS 1510,SW1500 35301 2/70 Ex-ALS 1510,35301 2/70 Ex-ALS 1510,2/70 Ex-ALS 1510,Ex-ALS 1510
1553 SW1500 18303 10/53 Ex-PLE 1553,SW1500 18303 10/53 Ex-PLE 1553,18303 10/53 Ex-PLE 1553,10/53 Ex-PLE 1553,Ex-PLE 1553
2378 MP15DC -- -- Leased to Salt Lake Garfield & Western DS-12; ex-NS 2378 < nee Southern 2378,MP15DC -- -- Leased to Salt Lake Garfield & Western DS-12; ex-NS 2378 < nee Southern 2378,-- -- Leased to Salt Lake Garfield & Western DS-12; ex-NS 2378 < nee Southern 2378,-- Leased to Salt Lake Garfield & Western DS-12; ex-NS 2378 < nee Southern 2378,Leased to Salt Lake Garfield & Western DS-12; ex-NS 2378 < nee Southern 2378
3780 SD40-2 796345-12 10/80 Ex-CEFX 3780 < nee UP 3780,SD40-2 796345-12 10/80 Ex-CEFX 3780 < nee UP 3780,796345-12 10/80 Ex-CEFX 3780 < nee UP 3780,10/80 Ex-CEFX 3780 < nee UP 3780,Ex-CEFX 3780 < nee UP 3780
4604 GP9R 21456 6/56 Ex-GTW GP9R 4694 < CV 4449 < nee GTW GP9 4449,GP9R 21456 6/56 Ex-GTW GP9R 4694 < CV 4449 < nee GTW GP9 4449,21456 6/56 Ex-GTW GP9R 4694 < CV 4449 < nee GTW GP9 4449,6/56 Ex-GTW GP9R 4694 < CV 4449 < nee GTW GP9 4449,Ex-GTW GP9R 4694 < CV 4449 < nee GTW GP9 4449
