,company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive serial number,locomotive model,Manufactured Date(MM/YY),locomotives
0,Hansen-Mueller,,,grain elelator / wharf,,,21st St E & Quebec Pier Rd.,  (715) 398-3541,18189,SW1,-53,
3,Area Aggregates – Collinwood Materials Yard,(subs. Olen Corp.),,aggregates distribution yard,Cleveland ,,"606 E 52nd St, 44110",,16951,SW9,12-52,
5,Williams Alaska Petroleum / Mapco,,,,Anchorage,Ak.,Ocean Dock Rd.    (in port area),,02113,S4,,
9,Gadsden Industrial Park,,,,Gadsden,,,,,GE 25ton,,
10,Gadsden Industrial Park,,,,Gadsden,,,,,GE 25ton,,
11,Gadsden Industrial Park,,,,Gadsden,,,,,GE 40ton,,
12,Gadsden Industrial Park,,,,Gadsden,,,,30880,GE 40ton,11-53,
13,Gadsden Industrial Park,,,,Gadsden,,,,26949,GP20,1-62,
24,Progress Rail Services,,,(car parts reclamation),Albertville,,"1800 Industrial Blvd.         (P.O. Box 1037, 35950)        ",[(256) 593-1261],41997,B23-7,1-79,
25,Progress Rail Services,,,(car parts reclamation),Albertville,,"1800 Industrial Blvd.         (P.O. Box 1037, 35950)        ",[(256) 593-1261],42313,B23-7,4-79,
26,Radius Recycling,,(formerly Schnitzer Steel),(scrap),Attalla,,Lake Rhea Rd. 35954                                , [(256) 538-7891],,GE 45ton,,
32,Martin Metals Co.,,,,Bessemer,,2100 Griffin Wheel Drive  (inside Griffin Wheel plant),      [428-0380] ,15807,GE 25ton,8-42,
33,U. S. Pipe & Foundry Co.  -  Bessemer Pipe Plt.,(subs. Forterra),,,,,"2023 St. Louis Ave., 35020  ",  [(205) 254-7682],41108,GE 125ton,12-79,
38,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,Mancha,5-43,
39,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,Greensburg battery electric,12-44,
43,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,Warren 8ton,-02,
44,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,Warren 8ton,-03,
45,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],28242,GE 80ton,9-45,
46,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,MP15,2-80,
47,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],74641,MP15,,
48,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],74641,MP15,,
50,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],,SW8,,
51,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],18846,SW9m,12-53,
52,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],10243,SW7,12-50,
53,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],12302,NW2,-49,
54,Grain Craft,,(formerly Milner Milling),,,,"700 Milner Rd., 35214   (off Sandusky Rd.)",(205) 798-2360,25399,SD24d,7-59,
60,SMI Steel    (subs. Commercial Metal Co.)     ,,(formerly Conner Steel),  (steel mill) ,,,101 50th St. S       ,  [592-8981],31449,GE 80ton,-53,
61,SMI Steel    (subs. Commercial Metal Co.)     ,,(formerly Conner Steel),  (steel mill) ,,,101 50th St. S       ,  [592-8981],38933,GE 80ton,5-73,
62,Container Corp. of America,,,,Brewton,,US 31                  , [(251) 867-6231],81166,NW2,9-46,
63,Frit Car & Equipment ,,,  (railcar repair),,,"   US 31, 36426          (P.O. Box 1390, 36427)          ",  [(251) 867-7752],31814,GE 65ton,1-53,
64,Frit Car & Equipment ,,,  (railcar repair),,,"   US 31, 36426          (P.O. Box 1390, 36427)          ",  [(251) 867-7752],,GE 65ton,,
66,T. R. Miller Mill Co. ,,, (lumber treating),,,"(P.O. Box 708, 36427)   ", [(251) 867-4331],33023,GE 45ton,10-58,
67,T. R. Miller Mill Co. ,,, (lumber treating),,,"(P.O. Box 708, 36427)   ", [(251) 867-4331],15739,GE 65ton,12-42,
68,SABIC Innovative Plastics US LLC,,(formerly GE Plastics),,Burkeville,,"1 Plastics Ave.  (off SR 37, ~ 10 M SW of Montgomery)",,16384,GP7,-52,
70,Argos USA LLC,,,cement plant,Calera,,8039 SR 25 W,  (800) 331-0022,,"GP35m Ex Omaha, Lincoln & Beatrice #47",,
72,Conrad Yelvington Distributors,,,quarry,,,,,,SD60I,5-95,
73,Conrad Yelvington Distributors,,,quarry,,,,,,SD60M,12-92,
77,"O'Neil Transportation Services, Inc.",,"(formerly Transportation Services, Inc. )",,,,"1480 Woodbine Ave., 35040                  ", [(205) 668-0058],32520,GE 80ton,3-56,
78,Vulcan Materials   ,,,(gravel quarry),,,"1614 Hwy 84           (P.O. Box 999, 35040)       ", [(205) 668-2492],35628,GP38,10-71,
79,Vulcan Materials   ,,,(gravel quarry),,,"1614 Hwy 84           (P.O. Box 999, 35040)       ", [(205) 668-2492],,GP38-2,10-71,
84,Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,37376,GP38,4-71,
85,Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,33688,GP38,11-67,
86,PowerSouth Energy - Plant Lowman,,(formerly Alabama Electric Co-Operative),electric generation,Carson  (Jackson) ,,Carson Rd.  (CR 34)     (opposite side of Tombigee River from Jackson)   ,,30993,GE 80ton,6-51,
89,Cherokee Nitrogen,(subs. LSB Ind.),,,Cherokee / (Vertagreen Station),,"1080 Industrial Dr., 35616  (~4 m. NE of ...)  ",(256) 359-7000,37065,SW1500,2-71,
90,Coastal Mobile Refining Corp. ,,(formerly Belcher Refining),,Chickasaw,,"200 Viaduct Road, 36611                              ", [(251) 456-8491],20119,SW1200,1-55,
91,Alabama Power Co.  -  Joseph Farley Nuclear Plt.,(subs. Southern Co.),,,Columbia,,,,28461,GE 45ton,5-46,
92,Resolute Forest Products,,"(formerly AbitibiBowater, previously Bowater, previously Alliance Forest Prod., originally Coosa River Newsprint)",,Coosa Pines,,"17589 Plant Rd., 35044  (~3 M N of Childersburg)",(256) 378-5541,72704,GP38-2,9-72,
102,"AlphaPet, Inc.",(subs. Indorama),,(petro chemicals),,,"Finley Island Road, 35601  ",,,S4,,
105,Gavilon Grain,,,,,,"1030 State Docks Rd NW, 35601",(256) 686-7030,20105,GP9,1-55,
107,Nucor Steel Decatur,,,cold rolling mill,,,"3401 Process  Road, 35601      (W. of...)            ", [(256) 584-7500],,SW1000,,
111,Schnitzer Southeast,,,,,,2101 Columbia Hwy.. 36303,(334) 671-3680,31682,GE 25ton,9-52,
112,"Tube City, Inc. / TMS",,,scrap yard,Fairfield,,"123 Scrap Yard Road, 35064             ",[(205) 781-3629],75662,S2,3-48,
117,Imerys Pigments Inc.      ,,(formerly ECCI American Calcium Products),,Gantts Quarry  (Sylacauga),,"2412 Hill Road, 35151         ",  [(256) 249-4901],39166,GE 1105on,,
123,Kodiak Mining,(subs. Attila Resources,,coal mine,Gurnee Jct.,,(@ ~8500 CR 270),,29856,SD35d,3-65,
124,Jetplex / International Intermodal Center of Alabama / Huntsville-Madison County Airport Authority,,,,Huntsville,,,[772-7084],23539,SW900m,8-57,
125,Jetplex / International Intermodal Center of Alabama / Huntsville-Madison County Airport Authority,,,,Huntsville,,,[772-7084],79052,RS1,7-51,
126,Tyson Foods,,(formerly Tyson RR),(poultry feed mill)  ,Ivalee   (Attalla),,"Walnut Grove Hwy.                (Rt 1/Box 322, 35954)                               [(256) 538-0866]",,25895,SW900,6-60,
132,Vulcan Materials - Notasulga Quarry,,(formerly Florida Rock ),,Loachapoka,,"(~ 2 mi. W of..., off SR 14)",,,GP9 Formerly Florida Rock,,
133,Vulcan Materials - Notasulga Quarry,,(formerly Florida Rock ),,Loachapoka,,"(~ 2 mi. W of..., off SR 14)",,,GP9 Formerly Florida Rock,,
135,Olin Corp. - Chlor Alkali Products Div. – McIntosh Plant,,,,,,"1638 Industrial Road          (P.O. Box  28, 36553)        ",     [(251) 944-2231],,GP40-2LW,3-74,
142,Georgia Pacific Corp.,,(formerly Fort James Corp.),(paper mill),Naheola,,,,14740,GP7,,
143,Georgia Pacific Corp.,,(formerly Fort James Corp.),(paper mill),Naheola,,,,13372,GP7,1-51,
144,Heckett Multi Serve,,,,(near Birmingham),,,,,SW7,-50,
145,Alabama Railcar Services,,(formerly  Frit Car),  (railcar repair)      ,Ozark,,"Jodie Parker Rd., 36360     (off Marley Mill Road) ",  [(334) 774-2621],35667,GE 25ton,2-66,
