company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive number,locomotive model,Manufactured Date(MM/YY),locomotives
DuraFiber Technologies  -  Salisbury Plant    ,(j/v Koch Ind. & Grupo Xtra),(fomerly Invista),,Barber / Salibury,,"7401 Statesville Blvd.(US 70), 28147      (""Celanese Dr."" - ~7 mi N/W of Salisbury)     ", [(704) 636-6000] ,"""Blue II"";",GE 45ton (II-A3-g);,09/42;,"    ""Blue II""  :  GE 45ton (II-A3-g)   (15729, 9-42)  Ex Invista  (same), exx KoSa  (same), exxx Fiber Ind.  (same), exxxx Southern Material Co.  (Va.), exxxxx Patapsco Scrap #3, exxxx USA #7938.  Acq. 1980."
Johnston Enterprises,,(formerly Willbrose Terminal),,Port of Muskogee,,Hyde Park Ave.      ,[(918) 682-7883],"""Ole Blue"";",T6;,02/59;,"  ""Ole Blue""  :  T6  82315, 2-59)  Ex Ark & Mo #10, exx Maryland & Delaware #8, nee N&W #14."
Nalco Champion,,,,,,, ,;,car mover;,;,                   car mover
Landmark,,,grain elevator,Evansville,,N CR M   (SE side of town), ,;,car mover;,;,      car mover
"Bunge North America (East), Inc.",,"( formerly Central Soya Co., Inc.)",,Sharonville  (Cincinnati),,2885 E. Sharon Rd.  45241              ,       [(513) 771-5434],;,Plymouth 25ton MDT;,08/58;,"                :  Plymouth 25ton MDT  (6136, 8-58)   Ex. Central Soya   (same), previously at Marion, Oh."
Martin Metals Co.,,,,Bessemer,,2100 Griffin Wheel Drive  (inside Griffin Wheel plant),      [428-0380] ,;,GE 25ton;,8/42;,"      :  GE 25ton  (15807, 8-42)  Ex IM&C #10  (Imroc, Fl.), previously at ASAP Plant  (Kingsford, Al.), originally at Noralyn Plant  (Bartow, Fl.)"
Pioneer Materials  ?  Felton Depot,,(formerly Carmeuse Pennsylvania),,Felton,,"40 Lombard St., 19943         ",     [(302) 284-3580],;,GP9;,;,             :  GP9       Nee Soo.
QualaWash,,(formerly Allwaste Container Service / Philip Services Corp.  ), (tank car cleaning),Miles City,,                                                                    ,     [(406) 232-0103 ],;,GE 35ton (IV);,;,    :  GE 35ton (IV)
PMAC Ltd.  –  American Extruded Products Div.       ,,(formerly Babcock & Wilcox) ,(tube mill),Beaver Falls,,688 37th St.   ,     [(724) 847-7124],;,;,;,
NRG - Limestone Electric Generating Station,,(formerly Texas Genco),,Jewett,,"FM 39, 75846      (~8 mi NW of...)",    (903) 626-9500  ,;,car mover;,;,    car mover
Northrup Grumman -  Marine Systems           ,, (formerly Westinghouse Electric),,Sunnyvale,,"401 E. Hendy, 94088    ",    [(408) 735-2475],;,Plymouth 15ton DDT;,10/60;,"        :  Plymouth 15ton DDT  (6243, 10-60)  Nee Westinghouse Electric  (same)."
West Homestead Engineering & Machine Co.,,,,West Homestead,,"W 7th Ave., Homestead, Pa., 15120  ",    [(412) 464-4400],;,Plymouth MDT; ,11/51; ,"        :  Plymouth MDT  [ (5572, 11-51) ?]    Ex Apollo Fabricators  (Apollo, Pa.), exx Apollo Bridge  (same), [ nee Pittsburgh Ferrous Products / Southwest Steel  (Mifflin Jct., Pa.) ?]"
J Star Consolidated,,,,Moline  (Toledo),,"29460 E. Broadway St., 43600          ",    [(419) 661-9328],;,Plymouth 30ton MDT;,02/54;,"                 :  Plymouth 30ton MDT  (5771, 2-54)  Ex Lapeer Industrial RR #6, exx Sunrise Grain  (Clarksfield, Oh.), exxx Huron-Landmark Grain  (same), nee GHR Foundry Div., Dayton Malleable Iron Co. #2-54  (Dayton, Oh.)"
Pilgrim's Pride Corp.,,(formerly ConAgra Broiler Co.),feed mill,,,"920 Queen City Parkway, 30501        (facility on Bradford St Extension)",    [(770) 536-3415 ],;,car mover;,;,      car mover
"Nucor Steel Memphis, Inc.",,(formerly Birmingham Steel),steel mill,,,"3601 Paul R Lowry Rd., 38109                    ",    [(901) 947-8000],;,;,;,
Archer-Daniels-Midland      ,,"(formerly Pfizer Chemical, Inc.)",,Southport,,"E. Moore Street Extension, 28461",    [(919) 457-5011],;,GP7/9;,;,                :  GP7/9      Acq.  2005.
Amalgamated Sugar      ,,(formerly  Great Western Sugar),sugar storage,Brighton,,    701 N Main St   ,   (303) 659-2151,;,car mover;,;,      car mover
Purina Mills,,(formerly Ralston Purina),,,,"223 W 63rd St., 71106",   (318) 861-3506,;,car mover;,;,      car mover
